,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
37,NDXP240426C17170000,2024-04-25 13:36:49+00:00,17170.0,130.81,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
38,NDXP240426C17175000,2024-04-25 18:24:22+00:00,17175.0,290.3,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
39,NDXP240426C17180000,2024-04-25 14:09:21+00:00,17180.0,165.62,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD
40,NDXP240426C17190000,2024-04-22 17:15:25+00:00,17190.0,172.87,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
41,NDXP240426C17200000,2024-04-25 19:57:04+00:00,17200.0,273.5,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD
42,NDXP240426C17210000,2024-04-25 15:16:25+00:00,17210.0,134.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
43,NDXP240426C17225000,2024-04-22 18:53:51+00:00,17225.0,188.95,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
44,NDXP240426C17240000,2024-04-25 13:56:34+00:00,17240.0,110.05,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
45,NDXP240426C17250000,2024-04-25 20:02:23+00:00,17250.0,300.0,0.0,0.0,0.0,0.0,47.0,0,1.0000000000000003e-05,True,REGULAR,USD
46,NDXP240426C17260000,2024-04-25 16:35:06+00:00,17260.0,155.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
47,NDXP240426C17270000,2024-04-25 19:04:26+00:00,17270.0,217.99,0.0,0.0,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD
48,NDXP240426C17275000,2024-04-25 19:40:46+00:00,17275.0,209.6,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
49,NDXP240426C17280000,2024-04-25 16:30:51+00:00,17280.0,138.25,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
50,NDXP240426C17290000,2024-04-25 16:28:38+00:00,17290.0,139.2,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD
51,NDXP240426C17300000,2024-04-25 19:42:47+00:00,17300.0,185.1,0.0,0.0,0.0,0.0,32.0,0,1.0000000000000003e-05,True,REGULAR,USD
52,NDXP240426C17320000,2024-04-25 18:58:29+00:00,17320.0,157.96,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD
53,NDXP240426C17340000,2024-04-25 16:57:28+00:00,17340.0,132.9,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
54,NDXP240426C17350000,2024-04-25 19:54:20+00:00,17350.0,152.75,0.0,0.0,0.0,0.0,27.0,0,1.0000000000000003e-05,True,REGULAR,USD
55,NDXP240426C17360000,2024-04-25 19:02:52+00:00,17360.0,147.0,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD
56,NDXP240426C17370000,2024-04-25 17:57:20+00:00,17370.0,152.0,0.0,0.0,0.0,0.0,9.0,0,1.0000000000000003e-05,True,REGULAR,USD
57,NDXP240426C17380000,2024-04-25 19:59:31+00:00,17380.0,145.79,0.0,0.0,0.0,0.0,32.0,0,1.0000000000000003e-05,True,REGULAR,USD
58,NDXP240426C17400000,2024-04-25 20:02:29+00:00,17400.0,193.5,0.0,0.0,0.0,0.0,116.0,0,1.0000000000000003e-05,True,REGULAR,USD
