Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-03 00:00:00-05:00,377.442796257539,379.46566809633134,371.0206531555757,373.956787109375,74850700,0.0,0.0,0.0
2023-01-04 00:00:00-05:00,376.274277599376,378.925629867577,373.15159512711205,376.8438415527344,85934100,0.0,0.0,0.0
2023-01-05 00:00:00-05:00,374.84057966036266,374.9584122055244,371.93393366522736,372.5427551269531,76970500,0.0,0.0,0.0
2023-01-06 00:00:00-05:00,375.714547737288,382.2348953395973,372.57223645621735,381.0859680175781,104189600,0.0,0.0,0.0
2023-01-09 00:00:00-05:00,383.3346774867047,386.6046804150222,380.6833553484963,380.8699035644531,73978100,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,380.2709205162314,383.6096391960653,379.3085714396994,383.5408935546875,65358100,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,385.16116034244504,388.47042070837244,384.32647322529925,388.391845703125,68881100,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,389.5211562111337,391.308333073519,385.34775046364103,389.805908203125,90157700,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,386.5260893855725,391.90733841410514,386.2511368055794,391.3181457519531,63903900,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,391.29854420909624,393.01700544551045,389.9041224772395,390.601318359375,62677300,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,391.81893988023893,392.908920765649,384.2282413117876,384.4344482421875,99632300,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,382.3428900747494,384.03189321425265,380.2807605164467,381.6358947753906,86958900,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,383.0695912048418,388.9025424260255,381.38058798982587,388.74542236328125,91806400,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,389.5702228375345,395.393343832243,388.58824506570846,393.4097595214844,84178800,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,391.6913308697119,393.9204098080908,390.473687921401,392.987548828125,59524900,0.0,0.0,0.0
