,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
35,NDXP240426P16000000,2024-04-25 20:14:03+00:00,16000.0,0.15,0.0,0.0,0.0,0.0,4.0,0,0.2500075,False,REGULAR,USD
36,NDXP240426P16025000,2024-04-17 19:56:44+00:00,16025.0,8.47,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
37,NDXP240426P16050000,2024-04-25 18:05:05+00:00,16050.0,0.65,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
38,NDXP240426P16100000,2024-04-25 20:14:33+00:00,16100.0,0.1,0.0,0.0,0.0,0.0,14.0,0,0.2500075,False,REGULAR,USD
39,NDXP240426P16125000,2024-04-24 17:49:25+00:00,16125.0,0.67,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
40,NDXP240426P16150000,2024-04-25 19:52:30+00:00,16150.0,0.94,0.0,0.0,0.0,0.0,13.0,0,0.2500075,False,REGULAR,USD
41,NDXP240426P16175000,2024-04-25 16:32:43+00:00,16175.0,0.7,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
42,NDXP240426P16200000,2024-04-25 19:47:52+00:00,16200.0,1.25,0.0,0.0,0.0,0.0,29.0,0,0.2500075,False,REGULAR,USD
43,NDXP240426P16225000,2024-04-25 20:09:27+00:00,16225.0,0.3,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
44,NDXP240426P16250000,2024-04-25 18:04:56+00:00,16250.0,0.85,0.0,0.0,0.0,0.0,50.0,0,0.2500075,False,REGULAR,USD
45,NDXP240426P16275000,2024-04-25 18:57:51+00:00,16275.0,1.15,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
46,NDXP240426P16300000,2024-04-25 19:52:30+00:00,16300.0,1.36,0.0,0.0,0.0,0.0,27.0,0,0.2500075,False,REGULAR,USD
47,NDXP240426P16325000,2024-04-25 14:57:47+00:00,16325.0,1.45,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
48,NDXP240426P16350000,2024-04-25 18:55:39+00:00,16350.0,1.25,0.0,0.0,0.0,0.0,66.0,0,0.2500075,False,REGULAR,USD
49,NDXP240426P16375000,2024-04-25 19:19:42+00:00,16375.0,0.95,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
50,NDXP240426P16400000,2024-04-25 19:24:24+00:00,16400.0,0.95,0.0,0.0,0.0,0.0,25.0,0,0.2500075,False,REGULAR,USD
51,NDXP240426P16425000,2024-04-25 15:46:44+00:00,16425.0,1.42,0.0,0.0,0.0,0.0,3.0,0,0.2500075,False,REGULAR,USD
52,NDXP240426P16450000,2024-04-25 19:09:34+00:00,16450.0,1.31,0.0,0.0,0.0,0.0,195.0,0,0.2500075,False,REGULAR,USD
53,NDXP240426P16460000,2024-04-25 19:44:23+00:00,16460.0,1.61,0.0,0.0,0.0,0.0,43.0,0,0.2500075,False,REGULAR,USD
54,NDXP240426P16470000,2024-04-25 19:34:23+00:00,16470.0,1.15,0.0,0.0,0.0,0.0,13.0,0,0.2500075,False,REGULAR,USD
55,NDXP240426P16475000,2024-04-25 19:57:17+00:00,16475.0,1.78,0.0,0.0,0.0,0.0,29.0,0,0.2500075,False,REGULAR,USD
56,NDXP240426P16500000,2024-04-25 19:49:40+00:00,16500.0,1.55,0.0,0.0,0.0,0.0,142.0,0,0.2500075,False,REGULAR,USD
57,NDXP240426P16510000,2024-04-25 13:46:34+00:00,16510.0,2.41,0.0,0.0,0.0,0.0,5.0,0,0.2500075,False,REGULAR,USD
58,NDXP240426P16525000,2024-04-25 19:47:24+00:00,16525.0,2.04,0.0,0.0,0.0,0.0,27.0,0,0.12500875,False,REGULAR,USD
59,NDXP240426P16550000,2024-04-25 19:58:13+00:00,16550.0,2.0,0.0,0.0,0.0,0.0,189.0,0,0.12500875,False,REGULAR,USD
60,NDXP240426P16575000,2024-04-25 18:17:55+00:00,16575.0,1.76,0.0,0.0,0.0,0.0,31.0,0,0.12500875,False,REGULAR,USD
61,NDXP240426P16580000,2024-04-25 19:19:27+00:00,16580.0,1.69,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD
62,NDXP240426P16600000,2024-04-25 19:55:14+00:00,16600.0,2.36,0.0,0.0,0.0,0.0,85.0,0,0.12500875,False,REGULAR,USD
63,NDXP240426P16610000,2024-04-25 14:18:23+00:00,16610.0,2.82,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
64,NDXP240426P16620000,2024-04-25 19:50:08+00:00,16620.0,2.16,0.0,0.0,0.0,0.0,34.0,0,0.12500875,False,REGULAR,USD
65,NDXP240426P16625000,2024-04-25 19:58:18+00:00,16625.0,2.2,0.0,0.0,0.0,0.0,73.0,0,0.12500875,False,REGULAR,USD
66,NDXP240426P16630000,2024-04-25 14:08:12+00:00,16630.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0.12500875,False,REGULAR,USD
67,NDXP240426P16640000,2024-04-25 16:21:11+00:00,16640.0,2.5,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
68,NDXP240426P16650000,2024-04-25 19:56:16+00:00,16650.0,2.47,0.0,0.0,0.0,0.0,33.0,0,0.12500875,False,REGULAR,USD
69,NDXP240426P16660000,2024-04-25 19:35:48+00:00,16660.0,2.12,0.0,0.0,0.0,0.0,19.0,0,0.12500875,False,REGULAR,USD
70,NDXP240426P16675000,2024-04-25 17:52:50+00:00,16675.0,2.0,0.0,0.0,0.0,0.0,17.0,0,0.12500875,False,REGULAR,USD
71,NDXP240426P16680000,2024-04-25 18:08:08+00:00,16680.0,2.07,0.0,0.0,0.0,0.0,12.0,0,0.12500875,False,REGULAR,USD
72,NDXP240426P16700000,2024-04-25 19:03:55+00:00,16700.0,2.45,0.0,0.0,0.0,0.0,90.0,0,0.12500875,False,REGULAR,USD
73,NDXP240426P16710000,2024-04-25 17:35:11+00:00,16710.0,2.75,0.0,0.0,0.0,0.0,7.0,0,0.12500875,False,REGULAR,USD
74,NDXP240426P16720000,2024-04-25 19:17:44+00:00,16720.0,2.45,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
75,NDXP240426P16725000,2024-04-25 17:18:03+00:00,16725.0,3.03,0.0,0.0,0.0,0.0,10.0,0,0.12500875,False,REGULAR,USD
76,NDXP240426P16740000,2024-04-25 13:49:11+00:00,16740.0,8.08,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
77,NDXP240426P16750000,2024-04-25 19:58:22+00:00,16750.0,3.1,0.0,0.0,0.0,0.0,24.0,0,0.12500875,False,REGULAR,USD
78,NDXP240426P16770000,2024-04-18 18:31:03+00:00,16770.0,45.7,0.0,0.0,0.0,0.0,,0,0.12500875,False,REGULAR,USD
79,NDXP240426P16775000,2024-04-25 16:18:49+00:00,16775.0,4.88,0.0,0.0,0.0,0.0,6.0,0,0.12500875,False,REGULAR,USD
80,NDXP240426P16780000,2024-04-25 14:15:57+00:00,16780.0,7.67,0.0,0.0,0.0,0.0,4.0,0,0.12500875,False,REGULAR,USD
81,NDXP240426P16790000,2024-04-25 14:05:38+00:00,16790.0,10.28,0.0,0.0,0.0,0.0,4.0,0,0.12500875,False,REGULAR,USD
82,NDXP240426P16800000,2024-04-25 19:58:13+00:00,16800.0,3.8,0.0,0.0,0.0,0.0,106.0,0,0.12500875,False,REGULAR,USD
83,NDXP240426P16810000,2024-04-25 18:08:08+00:00,16810.0,3.32,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD
84,NDXP240426P16820000,2024-04-25 13:30:52+00:00,16820.0,13.0,0.0,0.0,0.0,0.0,5.0,0,0.12500875,False,REGULAR,USD
85,NDXP240426P16825000,2024-04-25 18:44:24+00:00,16825.0,5.18,0.0,0.0,0.0,0.0,25.0,0,0.12500875,False,REGULAR,USD
86,NDXP240426P16830000,2024-04-25 19:59:00+00:00,16830.0,3.9,0.0,0.0,0.0,0.0,25.0,0,0.12500875,False,REGULAR,USD
87,NDXP240426P16840000,2024-04-25 19:27:52+00:00,16840.0,3.45,0.0,0.0,0.0,0.0,2.0,0,0.12500875,False,REGULAR,USD
88,NDXP240426P16850000,2024-04-25 19:58:10+00:00,16850.0,4.7,0.0,0.0,0.0,0.0,179.0,0,0.12500875,False,REGULAR,USD
89,NDXP240426P16860000,2024-04-25 18:32:18+00:00,16860.0,5.03,0.0,0.0,0.0,0.0,30.0,0,0.12500875,False,REGULAR,USD
90,NDXP240426P16870000,2024-04-25 19:55:23+00:00,16870.0,5.2,0.0,0.0,0.0,0.0,10.0,0,0.12500875,False,REGULAR,USD
91,NDXP240426P16875000,2024-04-25 19:46:59+00:00,16875.0,5.64,0.0,0.0,0.0,0.0,57.0,0,0.12500875,False,REGULAR,USD
92,NDXP240426P16890000,2024-04-22 14:54:22+00:00,16890.0,121.5,0.0,0.0,0.0,0.0,9.0,0,0.12500875,False,REGULAR,USD
93,NDXP240426P16900000,2024-04-25 19:59:54+00:00,16900.0,5.35,0.0,0.0,0.0,0.0,54.0,0,0.12500875,False,REGULAR,USD
94,NDXP240426P16910000,2024-04-25 19:27:52+00:00,16910.0,4.75,0.0,0.0,0.0,0.0,13.0,0,0.12500875,False,REGULAR,USD
95,NDXP240426P16920000,2024-04-25 19:28:58+00:00,16920.0,4.85,0.0,0.0,0.0,0.0,120.0,0,0.12500875,False,REGULAR,USD
96,NDXP240426P16925000,2024-04-25 19:59:54+00:00,16925.0,6.1,0.0,0.0,0.0,0.0,3.0,0,0.12500875,False,REGULAR,USD
97,NDXP240426P16930000,2024-04-25 19:48:04+00:00,16930.0,7.4,0.0,0.0,0.0,0.0,156.0,0,0.12500875,False,REGULAR,USD
98,NDXP240426P16940000,2024-04-25 19:13:42+00:00,16940.0,6.6,0.0,0.0,0.0,0.0,10.0,0,0.12500875,False,REGULAR,USD
99,NDXP240426P16950000,2024-04-25 19:19:45+00:00,16950.0,5.75,0.0,0.0,0.0,0.0,104.0,0,0.12500875,False,REGULAR,USD
100,NDXP240426P16960000,2024-04-25 19:24:00+00:00,16960.0,5.9,0.0,0.0,0.0,0.0,43.0,0,0.12500875,False,REGULAR,USD
