,Date,Ticker,Price,K
130,2021-01-22,SPY US 1/29/21 P346 Equity,0.09,346
126,2021-01-22,SPY US 1/29/21 P350 Equity,0.15,350
113,2021-01-22,SPY US 1/29/21 P363 Equity,0.33,363
124,2021-01-22,SPY US 1/29/21 P352 Equity,0.12,352
134,2021-01-22,SPY US 1/29/21 P342 Equity,0.08,342
133,2021-01-22,SPY US 1/29/21 P343 Equity,0.08,343
132,2021-01-22,SPY US 1/29/21 P344 Equity,0.1,344
119,2021-01-22,SPY US 1/29/21 P357 Equity,0.17,357
129,2021-01-22,SPY US 1/29/21 P347 Equity,0.11,347
128,2021-01-22,SPY US 1/29/21 P348 Equity,0.09,348
127,2021-01-22,SPY US 1/29/21 P349 Equity,0.14,349
131,2021-01-22,SPY US 1/29/21 P345 Equity,0.1,345
135,2021-01-29,SPY US 2/5/21 P374 Equity,8.0,374
136,2021-01-29,SPY US 2/5/21 P373 Equity,7.29,373
137,2021-01-29,SPY US 2/5/21 P372 Equity,6.83,372
138,2021-01-29,SPY US 2/5/21 P371 Equity,6.3,371
139,2021-01-29,SPY US 2/5/21 P370 Equity,6.09,370
140,2021-01-29,SPY US 2/5/21 P369 Equity,5.61,369
141,2021-01-29,SPY US 2/5/21 P368 Equity,5.28,368
153,2021-01-29,SPY US 2/5/21 P356 Equity,2.28,356
142,2021-01-29,SPY US 2/5/21 P367 Equity,4.96,367
145,2021-01-29,SPY US 2/5/21 P364 Equity,4.12,364
146,2021-01-29,SPY US 2/5/21 P363 Equity,3.82,363
147,2021-01-29,SPY US 2/5/21 P362 Equity,3.59,362
148,2021-01-29,SPY US 2/5/21 P361 Equity,3.3,361
173,2021-01-29,SPY US 2/5/21 P335 Equity,0.41,335
150,2021-01-29,SPY US 2/5/21 P359 Equity,2.86,359
151,2021-01-29,SPY US 2/5/21 P358 Equity,2.69,358
143,2021-01-29,SPY US 2/5/21 P366 Equity,4.67,366
172,2021-01-29,SPY US 2/5/21 P336 Equity,0.61,336
174,2021-01-29,SPY US 2/5/21 P334 Equity,0.51,334
144,2021-01-29,SPY US 2/5/21 P365 Equity,4.36,365
149,2021-01-29,SPY US 2/5/21 P360 Equity,3.16,360
152,2021-01-29,SPY US 2/5/21 P357 Equity,2.53,357
154,2021-01-29,SPY US 2/5/21 P355 Equity,2.15,355
176,2021-01-29,SPY US 2/5/21 P330 Equity,0.44,330
156,2021-01-29,SPY US 2/5/21 P353 Equity,1.95,353
162,2021-01-29,SPY US 2/5/21 P347 Equity,1.25,347
157,2021-01-29,SPY US 2/5/21 P352 Equity,1.79,352
158,2021-01-29,SPY US 2/5/21 P351 Equity,1.63,351
160,2021-01-29,SPY US 2/5/21 P349 Equity,1.4,349
161,2021-01-29,SPY US 2/5/21 P348 Equity,1.32,348
163,2021-01-29,SPY US 2/5/21 P346 Equity,1.3,346
168,2021-01-29,SPY US 2/5/21 P341 Equity,0.72,341
159,2021-01-29,SPY US 2/5/21 P350 Equity,1.54,350
166,2021-01-29,SPY US 2/5/21 P343 Equity,0.95,343
165,2021-01-29,SPY US 2/5/21 P344 Equity,1.0,344
155,2021-01-29,SPY US 2/5/21 P354 Equity,1.99,354
175,2021-01-29,SPY US 2/5/21 P332 Equity,0.46,332
171,2021-01-29,SPY US 2/5/21 P338 Equity,0.64,338
164,2021-01-29,SPY US 2/5/21 P345 Equity,1.04,345
169,2021-01-29,SPY US 2/5/21 P340 Equity,0.74,340
167,2021-01-29,SPY US 2/5/21 P342 Equity,0.87,342
170,2021-01-29,SPY US 2/5/21 P339 Equity,0.72,339
186,2021-02-05,SPY US 2/12/21 P382 Equity,1.05,382
178,2021-02-05,SPY US 2/12/21 P390 Equity,3.66,390
179,2021-02-05,SPY US 2/12/21 P389 Equity,3.11,389
180,2021-02-05,SPY US 2/12/21 P388 Equity,2.64,388
181,2021-02-05,SPY US 2/12/21 P387 Equity,2.26,387
182,2021-02-05,SPY US 2/12/21 P386 Equity,1.92,386
183,2021-02-05,SPY US 2/12/21 P385 Equity,1.65,385
198,2021-02-05,SPY US 2/12/21 P370 Equity,0.25,370
185,2021-02-05,SPY US 2/12/21 P383 Equity,1.21,383
187,2021-02-05,SPY US 2/12/21 P381 Equity,0.91,381
188,2021-02-05,SPY US 2/12/21 P380 Equity,0.81,380
196,2021-02-05,SPY US 2/12/21 P372 Equity,0.3,372
189,2021-02-05,SPY US 2/12/21 P379 Equity,0.74,379
190,2021-02-05,SPY US 2/12/21 P378 Equity,0.62,378
191,2021-02-05,SPY US 2/12/21 P377 Equity,0.54,377
192,2021-02-05,SPY US 2/12/21 P376 Equity,0.47,376
193,2021-02-05,SPY US 2/12/21 P375 Equity,0.43,375
194,2021-02-05,SPY US 2/12/21 P374 Equity,0.39,374
195,2021-02-05,SPY US 2/12/21 P373 Equity,0.34,373
177,2021-02-05,SPY US 2/12/21 P391 Equity,4.24,391
184,2021-02-05,SPY US 2/12/21 P384 Equity,1.41,384
197,2021-02-05,SPY US 2/12/21 P371 Equity,0.26,371
213,2021-02-05,SPY US 2/12/21 P355 Equity,0.08,355
199,2021-02-05,SPY US 2/12/21 P369 Equity,0.21,369
209,2021-02-05,SPY US 2/12/21 P359 Equity,0.09,359
201,2021-02-05,SPY US 2/12/21 P367 Equity,0.18,367
202,2021-02-05,SPY US 2/12/21 P366 Equity,0.17,366
204,2021-02-05,SPY US 2/12/21 P364 Equity,0.13,364
205,2021-02-05,SPY US 2/12/21 P363 Equity,0.13,363
206,2021-02-05,SPY US 2/12/21 P362 Equity,0.12,362
207,2021-02-05,SPY US 2/12/21 P361 Equity,0.11,361
208,2021-02-05,SPY US 2/12/21 P360 Equity,0.1,360
210,2021-02-05,SPY US 2/12/21 P358 Equity,0.1,358
211,2021-02-05,SPY US 2/12/21 P357 Equity,0.07,357
203,2021-02-05,SPY US 2/12/21 P365 Equity,0.14,365
200,2021-02-05,SPY US 2/12/21 P368 Equity,0.2,368
214,2021-02-05,SPY US 2/12/21 P354 Equity,0.06,354
215,2021-02-05,SPY US 2/12/21 P353 Equity,0.07,353
216,2021-02-05,SPY US 2/12/21 P352 Equity,0.06,352
217,2021-02-05,SPY US 2/12/21 P351 Equity,0.06,351
218,2021-02-05,SPY US 2/12/21 P350 Equity,0.05,350
219,2021-02-05,SPY US 2/12/21 P349 Equity,0.05,349
220,2021-02-05,SPY US 2/12/21 P348 Equity,0.04,348
221,2021-02-05,SPY US 2/12/21 P347 Equity,0.05,347
212,2021-02-05,SPY US 2/12/21 P356 Equity,0.07,356
230,2021-02-12,SPY US 2/19/21 P388 Equity,1.06,388
229,2021-02-12,SPY US 2/19/21 P389 Equity,1.25,389
244,2021-02-12,SPY US 2/19/21 P374 Equity,0.18,374
227,2021-02-12,SPY US 2/19/21 P391 Equity,1.74,391
226,2021-02-12,SPY US 2/19/21 P392 Equity,2.06,392
223,2021-02-12,SPY US 2/19/21 P395 Equity,3.49,395
222,2021-02-12,SPY US 2/19/21 P396 Equity,4.12,396
231,2021-02-12,SPY US 2/19/21 P387 Equity,0.91,387
224,2021-02-12,SPY US 2/19/21 P394 Equity,2.95,394
228,2021-02-12,SPY US 2/19/21 P390 Equity,1.46,390
237,2021-02-12,SPY US 2/19/21 P381 Equity,0.37,381
234,2021-02-12,SPY US 2/19/21 P384 Equity,0.57,384
235,2021-02-12,SPY US 2/19/21 P383 Equity,0.51,383
236,2021-02-12,SPY US 2/19/21 P382 Equity,0.44,382
243,2021-02-12,SPY US 2/19/21 P375 Equity,0.19,375
238,2021-02-12,SPY US 2/19/21 P380 Equity,0.34,380
239,2021-02-12,SPY US 2/19/21 P379 Equity,0.29,379
240,2021-02-12,SPY US 2/19/21 P378 Equity,0.25,378
233,2021-02-12,SPY US 2/19/21 P385 Equity,0.67,385
242,2021-02-12,SPY US 2/19/21 P376 Equity,0.22,376
241,2021-02-12,SPY US 2/19/21 P377 Equity,0.22,377
225,2021-02-12,SPY US 2/19/21 P393 Equity,2.48,393
245,2021-02-12,SPY US 2/19/21 P373 Equity,0.16,373
257,2021-02-12,SPY US 2/19/21 P361 Equity,0.09,361
253,2021-02-12,SPY US 2/19/21 P365 Equity,0.11,365
252,2021-02-12,SPY US 2/19/21 P366 Equity,0.11,366
251,2021-02-12,SPY US 2/19/21 P367 Equity,0.12,367
247,2021-02-12,SPY US 2/19/21 P371 Equity,0.15,371
249,2021-02-12,SPY US 2/19/21 P369 Equity,0.11,369
248,2021-02-12,SPY US 2/19/21 P370 Equity,0.14,370
255,2021-02-12,SPY US 2/19/21 P363 Equity,0.1,363
250,2021-02-12,SPY US 2/19/21 P368 Equity,0.13,368
256,2021-02-12,SPY US 2/19/21 P362 Equity,0.08,362
232,2021-02-12,SPY US 2/19/21 P386 Equity,0.77,386
254,2021-02-12,SPY US 2/19/21 P364 Equity,0.1,364
259,2021-02-12,SPY US 2/19/21 P359 Equity,0.09,359
260,2021-02-12,SPY US 2/19/21 P358 Equity,0.09,358
261,2021-02-12,SPY US 2/19/21 P357 Equity,0.07,357
262,2021-02-12,SPY US 2/19/21 P356 Equity,0.1,356
263,2021-02-12,SPY US 2/19/21 P355 Equity,0.07,355
264,2021-02-12,SPY US 2/19/21 P354 Equity,0.1,354
265,2021-02-12,SPY US 2/19/21 P353 Equity,0.08,353
266,2021-02-12,SPY US 2/19/21 P352 Equity,0.06,352
246,2021-02-12,SPY US 2/19/21 P372 Equity,0.15,372
258,2021-02-12,SPY US 2/19/21 P360 Equity,0.08,360
273,2021-02-19,SPY US 2/26/21 P388 Equity,2.65,388
272,2021-02-19,SPY US 2/26/21 P389 Equity,2.88,389
271,2021-02-19,SPY US 2/26/21 P390 Equity,3.32,390
287,2021-02-19,SPY US 2/26/21 P374 Equity,0.47,374
269,2021-02-19,SPY US 2/26/21 P392 Equity,4.25,392
268,2021-02-19,SPY US 2/26/21 P393 Equity,4.81,393
288,2021-02-19,SPY US 2/26/21 P373 Equity,0.44,373
274,2021-02-19,SPY US 2/26/21 P387 Equity,2.24,387
270,2021-02-19,SPY US 2/26/21 P391 Equity,3.75,391
276,2021-02-19,SPY US 2/26/21 P385 Equity,1.78,385
285,2021-02-19,SPY US 2/26/21 P376 Equity,0.6,376
267,2021-02-19,SPY US 2/26/21 P394 Equity,5.67,394
279,2021-02-19,SPY US 2/26/21 P382 Equity,1.29,382
278,2021-02-19,SPY US 2/26/21 P383 Equity,1.4,383
284,2021-02-19,SPY US 2/26/21 P377 Equity,0.72,377
283,2021-02-19,SPY US 2/26/21 P378 Equity,0.77,378
286,2021-02-19,SPY US 2/26/21 P375 Equity,0.56,375
281,2021-02-19,SPY US 2/26/21 P380 Equity,0.99,380
280,2021-02-19,SPY US 2/26/21 P381 Equity,1.11,381
275,2021-02-19,SPY US 2/26/21 P386 Equity,2.0,386
277,2021-02-19,SPY US 2/26/21 P384 Equity,1.64,384
282,2021-02-19,SPY US 2/26/21 P379 Equity,0.9,379
302,2021-02-19,SPY US 2/26/21 P359 Equity,0.12,359
290,2021-02-19,SPY US 2/26/21 P371 Equity,0.36,371
299,2021-02-19,SPY US 2/26/21 P362 Equity,0.15,362
298,2021-02-19,SPY US 2/26/21 P363 Equity,0.16,363
296,2021-02-19,SPY US 2/26/21 P365 Equity,0.2,365
295,2021-02-19,SPY US 2/26/21 P366 Equity,0.19,366
291,2021-02-19,SPY US 2/26/21 P370 Equity,0.32,370
293,2021-02-19,SPY US 2/26/21 P368 Equity,0.28,368
292,2021-02-19,SPY US 2/26/21 P369 Equity,0.3,369
300,2021-02-19,SPY US 2/26/21 P361 Equity,0.14,361
294,2021-02-19,SPY US 2/26/21 P367 Equity,0.21,367
301,2021-02-19,SPY US 2/26/21 P360 Equity,0.14,360
289,2021-02-19,SPY US 2/26/21 P372 Equity,0.4,372
303,2021-02-19,SPY US 2/26/21 P358 Equity,0.12,358
304,2021-02-19,SPY US 2/26/21 P357 Equity,0.14,357
305,2021-02-19,SPY US 2/26/21 P356 Equity,0.11,356
306,2021-02-19,SPY US 2/26/21 P355 Equity,0.1,355
307,2021-02-19,SPY US 2/26/21 P354 Equity,0.12,354
308,2021-02-19,SPY US 2/26/21 P353 Equity,0.1,353
309,2021-02-19,SPY US 2/26/21 P352 Equity,0.09,352
310,2021-02-19,SPY US 2/26/21 P351 Equity,0.1,351
311,2021-02-19,SPY US 2/26/21 P350 Equity,0.09,350
297,2021-02-19,SPY US 2/26/21 P364 Equity,0.17,364
318,2021-02-26,SPY US 3/5/21 P378 Equity,4.93,378
316,2021-02-26,SPY US 3/5/21 P380 Equity,5.68,380
315,2021-02-26,SPY US 3/5/21 P381 Equity,6.05,381
331,2021-02-26,SPY US 3/5/21 P365 Equity,1.84,365
313,2021-02-26,SPY US 3/5/21 P383 Equity,6.98,383
312,2021-02-26,SPY US 3/5/21 P384 Equity,7.37,384
333,2021-02-26,SPY US 3/5/21 P363 Equity,1.57,363
319,2021-02-26,SPY US 3/5/21 P377 Equity,4.52,377
314,2021-02-26,SPY US 3/5/21 P382 Equity,6.5,382
320,2021-02-26,SPY US 3/5/21 P376 Equity,4.3,376
328,2021-02-26,SPY US 3/5/21 P368 Equity,2.38,368
322,2021-02-26,SPY US 3/5/21 P374 Equity,3.65,374
321,2021-02-26,SPY US 3/5/21 P375 Equity,4.0,375
329,2021-02-26,SPY US 3/5/21 P367 Equity,2.17,367
327,2021-02-26,SPY US 3/5/21 P369 Equity,2.55,369
330,2021-02-26,SPY US 3/5/21 P366 Equity,1.98,366
325,2021-02-26,SPY US 3/5/21 P371 Equity,2.96,371
324,2021-02-26,SPY US 3/5/21 P372 Equity,3.15,372
323,2021-02-26,SPY US 3/5/21 P373 Equity,3.44,373
332,2021-02-26,SPY US 3/5/21 P364 Equity,1.69,364
317,2021-02-26,SPY US 3/5/21 P379 Equity,5.29,379
326,2021-02-26,SPY US 3/5/21 P370 Equity,2.73,370
345,2021-02-26,SPY US 3/5/21 P351 Equity,0.54,351
355,2021-02-26,SPY US 3/5/21 P341 Equity,0.33,341
334,2021-02-26,SPY US 3/5/21 P362 Equity,1.41,362
343,2021-02-26,SPY US 3/5/21 P353 Equity,0.7,353
337,2021-02-26,SPY US 3/5/21 P359 Equity,1.01,359
338,2021-02-26,SPY US 3/5/21 P358 Equity,1.03,358
339,2021-02-26,SPY US 3/5/21 P357 Equity,0.95,357
340,2021-02-26,SPY US 3/5/21 P356 Equity,0.97,356
341,2021-02-26,SPY US 3/5/21 P355 Equity,0.87,355
335,2021-02-26,SPY US 3/5/21 P361 Equity,1.37,361
342,2021-02-26,SPY US 3/5/21 P354 Equity,0.77,354
344,2021-02-26,SPY US 3/5/21 P352 Equity,0.65,352
336,2021-02-26,SPY US 3/5/21 P360 Equity,1.26,360
346,2021-02-26,SPY US 3/5/21 P350 Equity,0.58,350
347,2021-02-26,SPY US 3/5/21 P349 Equity,0.53,349
348,2021-02-26,SPY US 3/5/21 P348 Equity,0.42,348
350,2021-02-26,SPY US 3/5/21 P346 Equity,0.36,346
351,2021-02-26,SPY US 3/5/21 P345 Equity,0.41,345
352,2021-02-26,SPY US 3/5/21 P344 Equity,0.39,344
353,2021-02-26,SPY US 3/5/21 P343 Equity,0.25,343
354,2021-02-26,SPY US 3/5/21 P342 Equity,0.22,342
356,2021-02-26,SPY US 3/5/21 P340 Equity,0.33,340
349,2021-02-26,SPY US 3/5/21 P347 Equity,0.32,347
363,2021-03-05,SPY US 3/12/21 P381 Equity,3.54,381
361,2021-03-05,SPY US 3/12/21 P383 Equity,4.21,383
360,2021-03-05,SPY US 3/12/21 P384 Equity,4.6,384
376,2021-03-05,SPY US 3/12/21 P368 Equity,1.07,368
358,2021-03-05,SPY US 3/12/21 P386 Equity,5.37,386
357,2021-03-05,SPY US 3/12/21 P387 Equity,5.79,387
364,2021-03-05,SPY US 3/12/21 P380 Equity,3.27,380
359,2021-03-05,SPY US 3/12/21 P385 Equity,4.93,385
365,2021-03-05,SPY US 3/12/21 P379 Equity,2.94,379
371,2021-03-05,SPY US 3/12/21 P373 Equity,1.72,373
368,2021-03-05,SPY US 3/12/21 P376 Equity,2.27,376
369,2021-03-05,SPY US 3/12/21 P375 Equity,2.09,375
370,2021-03-05,SPY US 3/12/21 P374 Equity,1.89,374
372,2021-03-05,SPY US 3/12/21 P372 Equity,1.56,372
373,2021-03-05,SPY US 3/12/21 P371 Equity,1.41,371
366,2021-03-05,SPY US 3/12/21 P378 Equity,2.7,378
374,2021-03-05,SPY US 3/12/21 P370 Equity,1.3,370
375,2021-03-05,SPY US 3/12/21 P369 Equity,1.18,369
367,2021-03-05,SPY US 3/12/21 P377 Equity,2.52,377
386,2021-03-05,SPY US 3/12/21 P358 Equity,0.45,358
362,2021-03-05,SPY US 3/12/21 P382 Equity,3.87,382
389,2021-03-05,SPY US 3/12/21 P355 Equity,0.35,355
387,2021-03-05,SPY US 3/12/21 P357 Equity,0.41,357
379,2021-03-05,SPY US 3/12/21 P365 Equity,0.8,365
380,2021-03-05,SPY US 3/12/21 P364 Equity,0.73,364
381,2021-03-05,SPY US 3/12/21 P363 Equity,0.69,363
382,2021-03-05,SPY US 3/12/21 P362 Equity,0.63,362
384,2021-03-05,SPY US 3/12/21 P360 Equity,0.54,360
385,2021-03-05,SPY US 3/12/21 P359 Equity,0.48,359
388,2021-03-05,SPY US 3/12/21 P356 Equity,0.38,356
377,2021-03-05,SPY US 3/12/21 P367 Equity,0.99,367
383,2021-03-05,SPY US 3/12/21 P361 Equity,0.58,361
390,2021-03-05,SPY US 3/12/21 P354 Equity,0.32,354
391,2021-03-05,SPY US 3/12/21 P353 Equity,0.3,353
392,2021-03-05,SPY US 3/12/21 P352 Equity,0.28,352
393,2021-03-05,SPY US 3/12/21 P350 Equity,0.24,350
394,2021-03-05,SPY US 3/12/21 P348 Equity,0.22,348
395,2021-03-05,SPY US 3/12/21 P346 Equity,0.2,346
396,2021-03-05,SPY US 3/12/21 P345 Equity,0.19,345
397,2021-03-05,SPY US 3/12/21 P344 Equity,0.18,344
378,2021-03-05,SPY US 3/12/21 P366 Equity,0.9,366
404,2021-03-12,SPY US 3/19/21 P392 Equity,2.85,392
403,2021-03-12,SPY US 3/19/21 P393 Equity,3.28,393
402,2021-03-12,SPY US 3/19/21 P394 Equity,3.77,394
401,2021-03-12,SPY US 3/19/21 P395 Equity,4.28,395
418,2021-03-12,SPY US 3/19/21 P378 Equity,0.5,378
399,2021-03-12,SPY US 3/19/21 P397 Equity,5.55,397
398,2021-03-12,SPY US 3/19/21 P398 Equity,6.1,398
405,2021-03-12,SPY US 3/19/21 P391 Equity,2.51,391
400,2021-03-12,SPY US 3/19/21 P396 Equity,4.77,396
406,2021-03-12,SPY US 3/19/21 P390 Equity,2.18,390
417,2021-03-12,SPY US 3/19/21 P379 Equity,0.57,379
419,2021-03-12,SPY US 3/19/21 P377 Equity,0.46,377
410,2021-03-12,SPY US 3/19/21 P386 Equity,1.3,386
411,2021-03-12,SPY US 3/19/21 P385 Equity,1.15,385
412,2021-03-12,SPY US 3/19/21 P384 Equity,1.01,384
413,2021-03-12,SPY US 3/19/21 P383 Equity,0.9,383
414,2021-03-12,SPY US 3/19/21 P382 Equity,0.8,382
415,2021-03-12,SPY US 3/19/21 P381 Equity,0.72,381
416,2021-03-12,SPY US 3/19/21 P380 Equity,0.63,380
409,2021-03-12,SPY US 3/19/21 P387 Equity,1.47,387
407,2021-03-12,SPY US 3/19/21 P389 Equity,1.91,389
420,2021-03-12,SPY US 3/19/21 P376 Equity,0.41,376
408,2021-03-12,SPY US 3/19/21 P388 Equity,1.68,388
442,2021-03-12,SPY US 3/19/21 P354 Equity,0.07,354
