Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,129.39072985955394,130.00649299644306,123.3224350650859,124.21629333496094,112117500,0.0,0.0
2023-01-04 00:00:00-05:00,126.02387869336417,127.78180134126632,124.22623574390637,125.49749755859375,89113600,0.0,0.0
2023-01-05 00:00:00-05:00,126.26223174808351,126.89786262199395,123.90841377283684,124.16663360595703,80962700,0.0,0.0
2023-01-06 00:00:00-05:00,125.14987775344896,129.40065435939678,124.0375199688127,128.7352294921875,87754700,0.0,0.0
2023-01-09 00:00:00-05:00,129.57945024285453,132.4993850669957,129.00340733870235,129.26162719726562,70790800,0.0,0.0
2023-01-10 00:00:00-05:00,129.37086864665307,130.36404286822778,127.24547641866863,129.83766174316406,63896200,0.0,0.0
2023-01-11 00:00:00-05:00,130.35412628547778,132.5986947376574,129.56952526006646,132.57884216308594,69458900,0.0,0.0
2023-01-12 00:00:00-05:00,132.9661827911385,133.3435787275284,130.54283502596002,132.4993896484375,71379600,0.0,0.0
2023-01-13 00:00:00-05:00,131.12878761949952,133.99906043393142,130.76131801720834,133.84014892578125,57809700,0.0,0.0
2023-01-17 00:00:00-05:00,133.90966114145823,136.35286085729862,133.21444232616352,135.0120849609375,63646600,0.0,0.0
2023-01-18 00:00:00-05:00,135.88608978995074,137.6638647890886,134.10829963617857,134.28707885742188,69672800,0.0,0.0
2023-01-19 00:00:00-05:00,133.1647999523524,135.3199861704186,132.85691837186238,134.3466796875,58280400,0.0,0.0
2023-01-20 00:00:00-05:00,134.35662194566166,137.07792506139188,133.303859582205,136.92893981933594,80223600,0.0,0.0
2023-01-23 00:00:00-05:00,137.17722358305448,142.34174184526063,136.95872403405485,140.14682006835938,81760300,0.0,0.0
2023-01-24 00:00:00-05:00,139.35226577130828,142.18281822585527,139.3423394852482,141.55711364746094,66435100,0.0,0.0
2023-01-25 00:00:00-05:00,139.92831292546484,141.457794530821,137.86250876362064,140.89169311523438,65799300,0.0,0.0
2023-01-26 00:00:00-05:00,142.1927398993167,143.2653697897825,140.9314044973845,142.97735595703125,54105100,0.0,0.0
