Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-03 00:00:00-05:00,37.33588466128056,37.628026989626605,37.111908752388885,37.21902847290039,35557900,0.0,0.0,0.0
2023-01-04 00:00:00-05:00,37.88121708084883,38.37785863280392,37.66697765481789,38.338905334472656,57044200,0.0,0.0,0.0
2023-01-05 00:00:00-05:00,37.96886069986155,38.2999563109364,37.95912051774083,38.222049713134766,25175600,0.0,0.0,0.0
2023-01-06 00:00:00-05:00,38.465501170494214,39.04004931125273,38.23178509849459,39.020572662353516,49058000,0.0,0.0,0.0
2023-01-09 00:00:00-05:00,39.48800357406589,39.61459994247408,39.29324078762048,39.31271743774414,59967500,0.0,0.0,0.0
2023-01-10 00:00:00-05:00,39.419837154699785,39.604859758681535,39.22507436826094,39.595123291015625,34936500,0.0,0.0,0.0
2023-01-11 00:00:00-05:00,39.52695364067915,39.77040617512167,39.45878722821852,39.76066970825195,41854800,0.0,0.0,0.0
2023-01-12 00:00:00-05:00,39.81910005283962,40.04307596189122,39.439314654239475,39.9554328918457,42088800,0.0,0.0,0.0
2023-01-13 00:00:00-05:00,39.906741931088156,40.2475777332157,39.897005463503326,40.218360900878906,32838900,0.0,0.0,0.0
2023-01-17 00:00:00-05:00,39.94569118834887,40.04307071350661,39.82883501520143,39.994380950927734,41016000,0.0,0.0,0.0
2023-01-18 00:00:00-05:00,40.3449557506104,40.39364551628535,39.702241185244475,39.721717834472656,54860300,0.0,0.0,0.0
2023-01-19 00:00:00-05:00,39.88726488370895,40.16967073314029,39.8677882339422,40.023597717285156,33834900,0.0,0.0,0.0
2023-01-20 00:00:00-05:00,40.306000811211845,40.6370964050293,40.179404453778176,40.6370964050293,42854900,0.0,0.0,0.0
2023-01-23 00:00:00-05:00,40.69552881462639,41.12400396177525,40.66631198280889,40.92924118041992,38252700,0.0,0.0,0.0
2023-01-24 00:00:00-05:00,40.77343163312951,40.98767106375708,40.715005399170046,40.958457946777344,34713300,0.0,0.0,0.0
2023-01-25 00:00:00-05:00,40.74421700027566,40.997406005859375,40.52024111058481,40.997406005859375,30325100,0.0,0.0,0.0
2023-01-26 00:00:00-05:00,41.328502425313104,41.41614548951826,41.104526531186835,41.386932373046875,28722100,0.0,0.0,0.0
2023-01-27 00:00:00-05:00,41.25059913661108,41.270075785663735,40.99740641371757,41.192169189453125,36989100,0.0,0.0,0.0
2023-01-30 00:00:00-05:00,40.53971942069625,40.72474202025124,40.3449566389172,40.36443328857422,38598300,0.0,0.0,0.0
2023-01-31 00:00:00-05:00,40.013857628331124,40.27678680419922,39.93595103631505,40.27678680419922,43197800,0.0,0.0,0.0
2023-02-01 00:00:00-05:00,40.461810920321845,40.929239345747284,40.1891452675214,40.77342987060547,51809100,0.0,0.0,0.0
2023-02-02 00:00:00-05:00,40.77342841953264,40.80264524900069,40.33521312541964,40.52997589111328,45943800,0.0,0.0,0.0
2023-02-03 00:00:00-05:00,40.03333639586868,40.31574223469254,39.71197725897442,39.80936050415039,42341000,0.0,0.0,0.0
2023-02-06 00:00:00-05:00,39.09847831077741,39.30297754707868,38.95240530496744,39.22507095336914,41471500,0.0,0.0,0.0
