Date,AAPL,AMZN,EEM,GLD,JNJ,JPM,SPY,TSLA
2023-04-03 00:00:00-04:00,165.28775024414062,102.41000366210938,38.504451751708984,184.5399932861328,152.1700897216797,125.81187438964844,405.0839538574219,194.77000427246097
2023-04-04 00:00:00-04:00,164.75062561035156,103.9499969482422,38.504451751708984,187.97999572753903,153.76113891601562,124.1299819946289,402.83648681640625,192.5800018310547
2023-04-05 00:00:00-04:00,162.89053344726562,101.0999984741211,38.20257186889648,187.8300018310547,160.668701171875,124.31507110595705,401.78173828125,185.52000427246097
2023-04-06 00:00:00-04:00,163.7857666015625,102.05999755859376,38.35837936401367,186.4900054931641,160.22242736816406,124.17869567871094,403.3490295410156,185.05999755859375
2023-04-10 00:00:00-04:00,161.1697235107422,102.16999816894533,38.397335052490234,185.11000061035156,159.41720581054688,124.58785247802734,403.7630004882813,184.5099945068359
2023-04-11 00:00:00-04:00,159.94625854492188,99.91999816894533,38.631046295166016,186.27999877929688,159.3686981201172,125.20158386230467,403.8714904785156,186.7899932861328
2023-04-12 00:00:00-04:00,159.24998474121094,97.83000183105467,38.35837936401367,187.19000244140625,159.02911376953125,125.18209838867188,402.2253112792969,180.5399932861328
2023-04-13 00:00:00-04:00,164.6809844970703,102.4000015258789,38.884239196777344,189.72000122070312,161.15379333496094,125.6594467163086,407.56793212890625,185.8999938964844
2023-04-14 00:00:00-04:00,164.3328399658203,102.51000213623048,38.67974090576172,186.36000061035156,160.89183044433594,135.14794921875,406.5723571777344,185.0
2023-04-17 00:00:00-04:00,164.3527374267578,102.73999786376952,38.84528350830078,185.52999877929688,160.72691345214844,136.2195587158203,408.03125,187.0399932861328
2023-04-18 00:00:00-04:00,165.58616638183594,102.3000030517578,38.79659652709961,186.25,156.20596313476562,137.74900817871094,408.2973937988281,184.30999755859375
2023-04-19 00:00:00-04:00,166.739990234375,104.3000030517578,38.40707015991211,185.36000061035156,157.68060302734375,137.5736541748047,408.2284240722656,180.58999633789065
2023-04-20 00:00:00-04:00,165.7652130126953,103.80999755859376,38.3486442565918,186.08999633789065,158.6992645263672,137.1742401123047,406.0006408691406,162.99000549316406
2023-04-21 00:00:00-04:00,164.14385986328125,106.95999908447266,37.98833084106445,184.25,157.8358154296875,136.9112091064453,406.3160705566406,165.0800018310547
2023-04-24 00:00:00-04:00,164.4521942138672,106.20999908447266,37.90068817138672,184.80999755859375,158.79627990722656,137.09632873535156,406.7399291992187,162.5500030517578
2023-04-25 00:00:00-04:00,162.90048217773438,102.56999969482422,37.1898078918457,185.75,160.25152587890625,134.11532592773438,400.283447265625,160.6699981689453
2023-04-26 00:00:00-04:00,162.89053344726562,104.9800033569336,37.404048919677734,184.7400054931641,157.7678985595703,131.73834228515625,398.58795166015625,153.75
2023-04-27 00:00:00-04:00,167.51585388183594,109.81999969482422,37.91042709350586,184.75,158.13658142089844,133.51133728027344,406.5230712890625,160.19000244140625
2023-04-28 00:00:00-04:00,168.7790985107422,105.4499969482422,38.10519027709961,184.8000030517578,158.81568908691406,134.67062377929688,409.9928283691406,164.30999755859375
2023-05-01 00:00:00-04:00,168.68960571289062,102.0500030517578,37.97859573364258,183.97000122070312,158.71868896484375,137.55416870117188,409.5788269042969,161.8300018310547
2023-05-02 00:00:00-04:00,167.64515686035156,103.62999725341795,37.60854721069336,187.52000427246097,160.10601806640625,135.3330535888672,404.9754943847656,160.30999755859375
2023-05-03 00:00:00-04:00,166.56094360351562,103.6500015258789,37.55012130737305,189.11000061035156,158.0104522705078,132.46896362304688,402.1957092285156,160.61000061035156
2023-05-04 00:00:00-04:00,164.90975952148438,104.0,37.85199737548828,190.44000244140625,157.2925567626953,130.656982421875,399.3469848632813,161.1999969482422
2023-05-05 00:00:00-04:00,172.64846801757812,105.66000366210938,38.35837936401367,187.4600067138672,157.82611083984375,133.20933532714844,406.7399291992187,170.05999755859375
2023-05-08 00:00:00-04:00,172.57882690429688,105.83000183105467,38.37785720825195,187.69000244140625,157.4671630859375,133.53082275390625,406.8483581542969,171.7899932861328
2023-05-09 00:00:00-04:00,170.85801696777344,106.62000274658205,38.144142150878906,189.02000427246097,156.24476623535156,132.88784790039062,405.064208984375,169.14999389648438
2023-05-10 00:00:00-04:00,172.63851928710938,110.19000244140624,38.12466812133789,188.75,156.82684326171875,132.95603942871094,406.956787109375,168.5399932861328
2023-05-11 00:00:00-04:00,172.82748413085938,112.18000030517578,37.98833084106445,187.1300048828125,156.18655395507812,132.5371551513672,406.2470703125,172.0800018310547
2023-05-12 00:00:00-04:00,171.8911895751953,110.26000213623048,37.54037857055664,186.80999755859375,155.98280334472656,130.63751220703125,405.71478271484375,167.97999572753906
2023-05-15 00:00:00-04:00,171.39317321777344,111.1999969482422,38.23178482055664,187.2100067138672,154.7895050048828,131.73834228515625,407.1145324707031,166.35000610351562
2023-05-16 00:00:00-04:00,171.39317321777344,113.4000015258789,37.9591178894043,184.8699951171875,154.58578491210938,130.85183715820312,404.3938903808594,166.52000427246094
2023-05-17 00:00:00-04:00,172.01072692871094,115.5,38.134403228759766,184.22999572753903,154.24623107910156,134.87518310546875,409.3028259277344,173.86000061035156
2023-05-18 00:00:00-04:00,174.36143493652344,118.1500015258789,37.92990493774414,181.83999633789065,153.75143432617188,135.8980712890625,413.2457275390625,176.88999938964844
2023-05-19 00:00:00-04:00,174.4710235595703,116.25,37.9591178894043,183.63999938964844,154.16860961914062,135.58633422851562,412.6444396972656,180.13999938964844
