,S0,V0,kappa,theta,sigma,rho
AAPL,171.47999572753906,0.0001493074652804751,0.5,0.00014159347453090122,0.2,-0.5
AMZN,180.3800048828125,0.00035112385923353936,0.4999997062518734,0.00035963043337037225,0.1999998860976652,-0.5000002997429863
EEM,41.08000183105469,8.486779962590459e-05,0.5000000249316284,0.00010000016454874752,0.2000000132968685,-0.49999997506837157
GLD,205.72000122070312,5.560003290136704e-05,0.4999998101429786,0.00010000383491223639,0.20000030997228152,-0.500000193736073
JNJ,158.19000244140625,9.651256870351637e-05,0.4999999491122711,0.00010000103007453388,0.19999998024047183,-0.5000000519116304
JPM,199.13839721679688,0.00011612509754203705,0.5000011844048566,0.0001,0.20000066329393623,-0.4999987502634432
SPY,523.0700073242188,5.202531660758586e-05,0.4999999958733016,0.0001,0.19999999839985164,-0.5000000042109168
TSLA,175.7899932861328,0.0009042718773700784,0.500000000020299,0.0008941953632717471,0.2000000000108261,-0.49999999997970107
