,EEM,GLD
0,39.7400016784668,190.72000122070312
1,39.749715504623374,190.58612576797188
2,39.836040254523496,190.828693606656
3,39.8784513501976,190.99284556153748
4,39.70229766817779,191.14073330280362
5,39.73688025269819,191.53782772578722
6,39.60833736476633,191.70258968197263
7,39.5340307192209,191.87533557866183
8,39.42087366698595,192.04038786107014
9,39.87985474234623,192.21995702772006
10,39.33635851032651,192.3853057555082
11,39.23306185381906,192.5535876225314
12,39.99312037098527,192.77742787863818
13,40.19297630358166,193.06485867276194
14,40.233575221973645,193.23093418987142
15,40.16540839755901,193.35959141262538
16,40.13081402897359,193.57637729468226
17,40.238812551605065,193.74289282309275
18,40.127062007726764,193.92554348582271
19,40.156100843747815,194.09235936902667
20,40.273746633320485,194.24935823241495
21,40.08955848040912,194.41645266295194
22,40.53113417215818,194.57532405596385
23,40.94862587169319,194.78013658022235
24,40.97607125451777,194.92250541209265
25,41.36389577989165,195.09017888775844
26,41.440466037340556,195.25238243510321
27,41.35789125037005,195.42033967290757
28,41.29166205741252,195.60210172793114
29,41.308909673986484,195.7580555240761
30,40.92303847858662,195.92644774481997
31,40.676194892673905,196.09223825816824
32,41.28432819458779,196.26091794484844
33,40.710532363289964,196.42994294948647
34,40.16287951812403,196.87182510006105
35,40.177052719908566,197.0411753918881
36,39.78164108799137,197.20956962098057
37,40.10522338457,197.37921044261375
38,40.55168138641183,197.5712936554354
39,39.88857720219967,197.74124563419207
40,40.00153945495583,197.92629557027126
41,39.54841788939802,198.09655292374495
42,40.29456047420682,198.23234152721432
43,40.16637831641011,198.3032964699178
44,40.25813629997327,198.47387812176348
45,40.145360850713665,198.64503532746718
46,39.63074803012863,198.89780030306687
47,39.548616549676396,198.7456727839119
48,39.56794603091173,199.3655258986194
49,39.48884470217709,199.6615328037237
50,39.7004693017467,200.66962960768464
51,39.969484689173925,200.98119005731638
52,40.00386667294863,201.33215046840027
53,40.03708449507348,201.11961393812936
54,40.07126352097565,200.31404560876803
55,40.128727141984896,201.26465081406093
56,40.16324610704599,201.79178483944705
57,40.19840102872165,203.8844209416803
58,40.22827308912051,202.91295892826184
59,40.26652561130903,202.66875453674592
60,40.30116311141688,200.66530620688098
