,AAPL,AMZN,JNJ
0,185.4034118652344,149.92999267578125,158.76455688476562
1,187.91710656284022,145.65934873862426,157.55656931267967
2,184.60892057831632,145.89693481666464,155.48938520054517
3,184.7521670107497,144.91474405752442,156.5518460027335
4,182.63077706612705,146.12458215174104,155.22902792520105
5,187.7277148850294,147.40138389422205,152.21151765358152
6,184.86771883370372,146.15281595025783,155.58568119451593
7,184.71079976715353,144.66501824924313,156.91786729678117
8,182.15836213094298,141.7795003878174,157.72758032247907
9,186.3932758882803,138.33047442399058,159.84064835425303
10,185.1627768616179,135.53214672796972,162.8370186921721
11,184.81649698306398,134.18883013358382,162.93554296001207
12,187.61963911276996,135.99619577883175,164.86401338282928
13,189.00945593653935,135.38538301216883,168.5061024856833
14,189.95288947714357,133.44612065504717,168.31559636220308
15,188.68280664995888,135.75705054355032,170.7420675391118
16,188.9646263540004,136.1116264042792,170.42632772960522
17,186.77427081281112,134.2040228440881,165.95967856340334
18,186.45415381232067,133.56184489020052,160.90525337754357
19,187.3018278569166,134.7359614902391,160.60113486012213
20,185.70991835907142,133.80894716623882,159.21871303928032
21,183.73480599199368,132.38794886075277,154.94764751109332
22,183.6199392600148,131.5697315529081,151.59948266751434
23,188.06980254172612,130.87459290316255,150.16127549395742
24,184.19505821427376,130.2070503867274,151.46578535167214
25,183.91040908966508,132.44080148514473,151.4356335887145
26,185.8579150045394,136.3463765407017,153.15173388605663
27,182.22448061662865,134.5300869465743,155.08605131986815
28,177.96972014891816,135.27037494283886,155.14150633965855
29,178.03981047810717,134.4828010461533,152.09320690224595
30,176.91527481022953,132.34278413623164,152.03927900848913
31,178.59414046084427,134.15510447917217,150.9968578893257
32,177.71905319757863,135.9479460288596,152.73482608891416
33,182.21090400705083,134.88723761060336,153.7312332722674
34,184.84573204807916,133.82863613043955,150.9381464491349
35,186.26277848388128,132.85930496782282,151.7109502420945
36,187.1007148388944,130.47770780268712,152.96750812062837
37,188.64336222113263,131.4729951163539,152.7252104066479
38,189.38704326606057,131.00827176944594,152.83735492418523
39,190.10055438437226,131.3729926306242,154.32617679900093
40,191.35514689732665,135.26287993978613,158.40009772108672
41,193.08611261935738,134.45070179742177,159.6375346707308
42,192.2787052088716,131.6807955029255,162.3768523231115
43,189.9036212708601,131.73498970791005,161.3247205686816
44,186.39424822613842,134.2671185391792,164.56681565568144
45,186.06606876365092,136.53878820404563,164.13456916713815
46,186.6310676097149,136.20079899719548,161.43906531478345
47,188.53133223296862,135.73108317750226,160.865346362185
48,188.04452037376274,138.77607836093202,160.8339836039665
49,187.73359158698528,139.83080505509068,156.88553812105303
50,182.49236093781184,140.94245474187915,154.90511743535157
51,184.3163257699796,140.25291730256083,155.25782617704584
52,186.49759285432742,138.1522197847804,156.77946991558062
53,190.04865742309173,137.3833488245118,158.5997182137957
54,191.37189515481742,136.3012917581184,158.52005806523482
55,192.78264614329797,134.8690107781188,158.2046024830812
56,193.17128451250576,135.44274326831538,158.07900182065794
57,194.5341967480922,137.81226077625274,158.39491064096484
58,195.17114107369616,136.24064916976278,158.1035480117449
59,195.52244866838478,136.67546810761158,157.4417770485726
60,196.27237578635774,136.78939492104269,155.50684547352319
